id,timestamp,value,sensor_id
19813,2024-08-26 18:21:52.505085,35.0,4
19816,2024-08-26 18:22:56.410780,35.0,4
19819,2024-08-26 18:24:00.299462,35.0,4
19822,2024-08-26 18:25:04.087136,35.0,4
19825,2024-08-26 18:26:07.829938,36.0,4
19828,2024-08-26 18:27:11.584894,36.0,4
19831,2024-08-26 18:28:15.415973,35.0,4
19834,2024-08-26 18:29:19.219071,35.0,4
19837,2024-08-26 18:30:23.007872,35.0,4
19840,2024-08-26 18:31:26.907097,35.0,4
19843,2024-08-26 18:32:30.727190,35.0,4
19846,2024-08-26 18:33:34.516684,35.0,4
19849,2024-08-26 18:34:38.298029,35.0,4
19852,2024-08-26 18:35:42.102950,35.0,4
19855,2024-08-26 18:36:45.896770,35.0,4
19858,2024-08-26 18:37:49.635070,35.0,4
19861,2024-08-26 18:38:53.352239,35.0,4
19864,2024-08-26 18:39:57.299820,35.0,4
19867,2024-08-26 18:41:01.128221,35.0,4
19870,2024-08-26 18:42:04.908697,35.0,4
19873,2024-08-26 18:43:08.689112,35.0,4
19876,2024-08-26 18:44:12.513785,35.0,4
19879,2024-08-26 18:45:16.272310,35.0,4
19882,2024-08-26 18:46:20.112003,35.0,4
19885,2024-08-26 18:47:24.087888,35.0,4
19888,2024-08-26 18:48:28.049405,35.0,4
19891,2024-08-26 18:49:31.823862,36.0,4
19894,2024-08-26 18:50:35.553749,34.0,4
19897,2024-08-26 18:51:39.302264,35.0,4
19900,2024-08-26 18:52:43.056389,35.0,4
19903,2024-08-26 18:53:46.838729,35.0,4
19906,2024-08-26 18:54:50.647366,35.0,4
19909,2024-08-26 18:55:54.444316,35.0,4
19912,2024-08-26 18:56:58.360113,35.0,4
19915,2024-08-26 18:58:02.150322,35.0,4
19918,2024-08-26 18:59:05.868151,35.0,4
19921,2024-08-26 19:00:09.616088,34.0,4
19924,2024-08-26 19:01:13.401683,34.0,4
19927,2024-08-26 19:02:17.229901,35.0,4
19930,2024-08-26 19:03:21.075702,34.0,4
19933,2024-08-26 19:04:25.078109,34.0,4
19936,2024-08-26 19:05:29.097454,34.0,4
19939,2024-08-26 19:06:32.902668,34.0,4
19942,2024-08-26 19:07:36.628134,36.0,4
19945,2024-08-26 19:08:40.396046,34.0,4
19948,2024-08-26 19:09:44.232230,35.0,4
19951,2024-08-26 19:10:48.103168,34.0,4
19954,2024-08-26 19:11:51.920948,35.0,4
19957,2024-08-26 19:12:55.785484,35.0,4
19960,2024-08-26 19:13:59.581924,35.0,4
19963,2024-08-26 19:15:03.361754,34.0,4
19966,2024-08-26 19:16:07.162584,34.0,4
19969,2024-08-26 19:17:10.894655,35.0,4
19972,2024-08-26 19:18:14.657185,34.0,4
19975,2024-08-26 19:19:18.457230,36.0,4
19978,2024-08-26 19:20:22.244802,34.0,4
19981,2024-08-26 19:21:26.186344,35.0,4
19984,2024-08-26 19:22:30.133670,34.0,4
19987,2024-08-26 19:23:33.941459,35.0,4
19990,2024-08-26 19:24:37.751985,35.0,4
19993,2024-08-26 19:25:41.521252,35.0,4
19996,2024-08-26 19:26:45.314555,35.0,4
19999,2024-08-26 19:27:49.154349,34.0,4
